년,월,선행종합지수(2020=100),동행종합지수(2020=100),후행종합지수(2020=100)
2011,1,72.0,78.2,74.2
2011,2,72.3,78.2,74.5
2011,3,72.5,78.6,74.9
2011,4,72.5,78.4,75.3
2011,5,72.6,78.9,75.8
2011,6,72.6,79.3,76.1
2011,7,72.7,79.5,76.5
2011,8,72.8,79.8,76.8
2011,9,72.8,79.7,76.9
2011,10,72.9,80.0,77.1
2011,11,72.9,79.9,77.3
2011,12,72.9,80.1,77.6
2012,1,73.1,79.9,77.7
2012,2,73.6,80.4,77.8
2012,3,73.9,80.5,77.9
2012,4,74.3,80.8,78.0
2012,5,74.3,81.0,78.1
2012,6,74.5,81.1,78.3
2012,7,74.5,81.5,78.5
2012,8,74.5,81.1,78.6
2012,9,74.5,81.2,78.8
2012,10,74.7,81.3,79.0
2012,11,75.0,81.7,79.2
2012,12,75.3,82.1,79.4
2013,1,75.4,82.3,79.7
2013,2,75.7,82.4,79.9
2013,3,75.9,82.4,80.1
2013,4,76.1,82.6,80.3
2013,5,76.4,82.8,80.6
2013,6,76.8,83.2,80.8
2013,7,77.2,83.4,80.9
2013,8,77.5,83.6,81.1
2013,9,77.7,83.8,81.4
2013,10,78.0,84.3,81.7
2013,11,78.3,84.5,82.1
2013,12,78.7,84.9,82.3
2014,1,78.9,85.3,82.5
2014,2,79.2,85.6,82.7
2014,3,79.4,85.9,83.0
2014,4,79.6,86.0,83.4
2014,5,79.7,85.9,83.6
2014,6,79.9,86.1,83.7
2014,7,80.1,86.3,83.9
2014,8,80.5,86.6,84.2
2014,9,80.8,86.6,84.5
2014,10,81.1,86.5,84.7
2014,11,81.4,86.6,84.9
2014,12,81.7,87.2,84.9
2015,1,82.2,87.5,85.1
2015,2,82.5,88.1,85.4
2015,3,82.9,88.1,85.7
2015,4,83.3,88.3,85.9
2015,5,83.7,88.0,86.0
2015,6,83.9,88.2,86.2
2015,7,84.1,88.5,86.5
2015,8,84.4,89.2,86.8
2015,9,84.9,90.0,87.1
2015,10,85.2,90.7,87.4
2015,11,85.4,90.8,87.6
2015,12,85.4,90.9,87.8
2016,1,85.5,90.8,88.1
2016,2,85.5,91.0,88.4
2016,3,85.8,91.0,88.6
2016,4,86.1,91.2,88.8
2016,5,86.4,91.7,89.0
2016,6,86.7,92.1,89.2
2016,7,87.1,92.6,89.3
2016,8,87.5,92.9,89.5
2016,9,87.9,93.0,89.6
2016,10,88.3,93.1,89.9
2016,11,88.7,93.6,90.1
2016,12,89.1,94.0,90.3
2017,1,89.5,94.6,90.5
2017,2,90.0,94.9,90.7
2017,3,90.4,95.3,91.0
2017,4,90.8,95.6,91.3
2017,5,91.0,95.9,91.6
2017,6,91.5,96.1,91.8
2017,7,91.8,96.3,92.0
2017,8,92.2,96.5,92.3
2017,9,92.4,96.9,92.6
2017,10,92.8,97.0,92.8
2017,11,93.0,97.4,93.0
2017,12,93.1,97.2,93.3
2018,1,93.4,97.6,93.6
2018,2,93.6,97.8,93.9
2018,3,93.9,98.0,94.1
2018,4,93.8,98.1,94.4
2018,5,94.1,98.2,94.6
2018,6,94.3,98.5,94.9
2018,7,94.5,98.5,95.1
2018,8,94.4,98.6,95.2
2018,9,94.6,98.4,95.4
2018,10,94.7,98.5,95.7
2018,11,94.7,98.6,96.1
2018,12,94.7,98.6,96.5
2019,1,94.8,99.0,96.7
2019,2,95.0,98.7,96.9
2019,3,95.3,98.8,97.0
2019,4,95.5,98.8,97.2
2019,5,95.6,99.3,97.5
2019,6,95.6,99.5,97.7
2019,7,95.7,99.7,97.9
2019,8,95.9,100.0,98.2
2019,9,96.3,100.2,98.5
2019,10,96.9,100.5,98.7
2019,11,97.5,100.5,98.8
2019,12,98.0,101.1,99.1
2020,1,98.3,101.4,99.3
2020,2,98.6,101.0,99.5
2020,3,98.5,100.1,99.4
2020,4,98.5,99.2,99.4
2020,5,98.5,98.3,99.5
2020,6,99.0,98.5,99.8
2020,7,99.6,98.8,100.0
2020,8,100.4,99.3,100.2
2020,9,101.1,100.0,100.5
2020,10,101.8,100.6,100.6
2020,11,102.6,101.3,100.8
2020,12,103.1,101.5,101.1
2021,1,103.8,101.3,101.4
2021,2,104.3,101.6,101.7
2021,3,104.9,102.3,102.2
2021,4,105.6,103.4,102.7
2021,5,106.3,103.7,103.2
2021,6,106.9,103.8,103.4
2021,7,107.1,104.0,103.7
2021,8,107.2,104.1,104.1
2021,9,107.1,104.3,104.5
2021,10,107.1,104.8,105.2
2021,11,107.1,105.3,105.7
2021,12,107.3,106.2,106.3
2022,1,107.6,107.0,106.7
2022,2,107.7,107.4,107.2
2022,3,107.8,107.6,107.7
2022,4,107.9,107.5,108.1
2022,5,108.4,107.8,108.5
2022,6,108.8,108.0,109.1
2022,7,108.9,108.5,109.7
2022,8,109.0,109.0,110.3
2022,9,109.4,109.2,110.8
2022,10,109.7,109.4,111.3
2022,11,109.7,108.9,111.8
2022,12,109.5,108.4,112.4
2023,1,109.4,108.2,112.8
2023,2,109.3,108.7,112.9
2023,3,109.4,109.5,113.1
2023,4,109.4,110.0,113.4
2023,5,109.8,110.3,113.7
2023,6,110.5,110.3,113.9
2023,7,111.1,110.0,113.8
